Month,Day,Category,Title,Author,Hours,Minutes,Course Link,Certificate,Image,Summary
1,24,WordPress,WordPress DIY: Community Website,Morten Rand-Hendriksen,2,16,https://www.lynda.com/tutorial/383782,https://www.lynda.com/ViewCertificate/3D77F4908D4B4A7ABC71A23D0091E256?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
1,25,WordPress,WordPress Ecommerce: Core Concepts,Morten Rand-Hendriksen,1,3,,https://www.lynda.com/ViewCertificate/38CD6EC34A8940B0A9C850138E50604B?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
1,26,WordPress,WordPress Ecommerce,Patrick Rauland,1,10,https://www.lynda.com/tutorial/379262,https://www.lynda.com/ViewCertificate/70A0C847AA1A432992980ECD8BEBA7C6?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
1,26,CSS,Making Sense of the CSS Box Model,Morten Rand-Hendriksen,0,50,https://www.lynda.com/tutorial/372544,https://www.lynda.com/ViewCertificate/29BCDC8082744477A14ACDF1A68C4A0D?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
1,26,WordPress,WordPress Workflows,Morten Rand-Hendriksen,1,6,https://www.lynda.com/tutorial/361684,https://www.lynda.com/ViewCertificate/E85356368408445B88349C075C25B667?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
2,1,HTML,HTML5: Web Forms in Depth,Joe Marini,1,58,https://www.lynda.com/tutorial/80852,https://www.lynda.com/ViewCertificate/C5E9709C4DCB4C56A3507A7F085B8D4D?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
2,1,Forms,Web Form Design Best Practices,Luke Wroblewski,3,46,https://www.lynda.com/tutorial/83786,https://www.lynda.com/ViewCertificate/2A31E65779F740E5BE453577ABED7721?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
2,2,CSS,CSS: Styling Forms,Ray Villalobos,4,1,https://www.lynda.com/tutorial/90368,https://www.lynda.com/ViewCertificate/F3F75A19CCB4441983DFAFBC41441642?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
2,3,Forms,Validating and Processing Forms with JavaScript and PHP,Ray Villalobos,2,51,https://www.lynda.com/tutorial/120466,https://www.lynda.com/ViewCertificate/7C4FDEB523E2431797A201BF1F9B15E2?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
2,4,InDesign,InDesign Insider Training: Print PDFs,David Blatner,1,16,https://www.lynda.com/tutorial/155936,https://www.lynda.com/ViewCertificate/59ACBC9664BE4D058621892674E09E3A?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
2,6,JavaScript,Introducing the JavaScript Language,Joe Chellman,2,55,https://www.lynda.com/tutorial/123563,https://www.lynda.com/ViewCertificate/B97D4C50D4E44048B13F615EE21919BB?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
2,17,WordPress,WordPress: Building Themes from Scratch Using Underscores,Morten Rand-Hendriksen,6,39,https://www.lynda.com/tutorial/417653,https://www.lynda.com/ViewCertificate/28EE441460A34D908BB5A494DA417A3C?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,1,WordPress,Moving WordPress with WP Migrate DB and DB Pro,Morten Rand-Hendriksen,1,3,https://www.lynda.com/tutorial/472837,https://www.lynda.com/ViewCertificate/793D1308F7724D259681DA08D1157717?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,2,WordPress,WordPress: Building Child Themes,Morten Rand-Hendriksen,2,27,https://www.lynda.com/tutorial/422838,https://www.lynda.com/ViewCertificate/562203F672A940AA8641B5EB6F69B855?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,4,CSS,Advanced Responsive Layouts with CSS Flexbox,Morten Rand-Hendriksen,1,49,https://www.lynda.com/tutorial/383780,https://www.lynda.com/ViewCertificate/3D77F4908D4B4A7ABC71A23D0091E256?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,5,CSS,CSS: Flexbox First Look,James Williamson,2,3,https://www.lynda.com/tutorial/116352,https://www.lynda.com/ViewCertificate/680D97323DDF4EA49BC17EF908F7695C?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,7,Forms,Building Responsive Forms with Flexbox,James Williamson,1,20,https://www.lynda.com/tutorial/383123,https://www.lynda.com/ViewCertificate/9D0EA9C2EC954770BEB62F0E27B376DE?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,18,PHP,Introducing PHP,David Powers,6,57,https://www.lynda.com/tutorial/418256,https://www.lynda.com/ViewCertificate/ACEF75CDFCA74926BE175B962D472841?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,20,PHP,Creating Secure PHP Websites,Kevin Skoglund,4,16,https://www.lynda.com/tutorial/133321,https://www.lynda.com/ViewCertificate/0E40A4023D8349ACA214983F082EF31A?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,25,PHP,PHP for Web Designers,David Powers,5,26,https://www.lynda.com/tutorial/146234,https://www.lynda.com/ViewCertificate/EEE5C6196F7140D6A3071B45DFC4B7B6?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
3,26,PHP,Easy PHP Projects: Time Zone Conversion,Kevin Skoglund,2,54,https://www.lynda.com/tutorial/418853,https://www.lynda.com/ViewCertificate/3F8D2E55E5C94EA8A6E5008FAC7E1C70?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
4,1,PHP,Easy PHP Projects: Single-Serving Sites,Kevin Skoglund,3,1,https://www.lynda.com/tutorial/418850,https://www.lynda.com/ViewCertificate/53C0C9B1AE0449B183330FC0EFC162F7?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
4,4,Infographics,Pop Chart Lab’s Infographic Poster Design: Start to Finish,Patrick Mulligan & Ben Gibson,0,9,https://www.lynda.com/tutorial/142218,https://www.lynda.com/ViewCertificate/65E70E58C13F434CB14E26E02C24B3BB?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
4,7,PHP,Easy PHP Projects: Measurement Conversion,Kevin Skoglund,2,17,https://www.lynda.com/tutorial/418852,https://www.lynda.com/ViewCertificate/616D0DC1B635483AA80B9FA01F0E9BB5?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
4,11,Career,J.T. O’Donnell on Making Recruiters Come to You,J.T. O'Donnell,0,26,https://www.lynda.com/tutorial/454669,https://www.lynda.com/ViewCertificate/6B5105F56D4C48FB8EF662AEDEB3D041?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
4,12,Infographics,Infographics Fundamentals,Amy Balliett,1,11,https://www.lynda.com/tutorial/376982,https://www.lynda.com/ViewCertificate/70FFA57921FA4744812B77AEA2F1FBFA?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
4,15,Branding,Personal Branding on Social Media,Karen Leland,1,8,https://www.lynda.com/tutorial/417148,https://www.lynda.com/ViewCertificate/7887980024F04DA3BE4A5BF3F5EDC457?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
5,15,PHP,PHP with MySQL Essential Training,Kevin Skoglund,14,32,https://www.lynda.com/tutorial/119003,https://www.lynda.com/ViewCertificate/7D6842D1A9D14E85A726CB0808890ECE?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
6,12,Logos,The Science of Logo Design,William Lidwell,0,45,https://www.lynda.com/tutorial/149123,https://www.lynda.com/ViewCertificate/D593AA34845C4EE192B6A8A76D6D04EE?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
6,12,Logos,Before & After: Logo Design Tips and Tricks,John McWade,0,57,https://www.lynda.com/tutorial/380379,https://www.lynda.com/ViewCertificate/060B540AE1694B0DA3FA8FD688034A72?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
6,26,WordPress,WordPress: Building a Paid Membership Site,Morten Rand-Hendriksen,1,48,https://www.lynda.com/tutorial/468148,https://www.lynda.com/ViewCertificate/3C39522563DB47098C734504B3A01D87?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
7,8,Career,Building and Maintaining your UX Design Portfolio,Diane Cronenwett,0,16,https://www.lynda.com/tutorial/483023,https://www.lynda.com/ViewCertificate/2F57BD785D184FC28CEEE3E6A174FD79?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
7,8,Career,Becoming a Web Developer: Full Stack vs. Front End,Ray Villalobos,0,40,https://www.lynda.com/tutorial/483022,https://www.lynda.com/ViewCertificate/B0954A06EC734652AFB19CF72CBE5EC1?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
7,9,JavaScript,Online Presentations with reveal.js,Ray Villalobos,2,2,https://www.lynda.com/tutorial/137904,https://www.lynda.com/ViewCertificate/7850891CA95D42819497E2B8A9F11DA9?utm_source=directlink&utm_medium=sharing&utm_campaign=certificate,,
